model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,train_time
Logistic Regression,0.57,0.5689280088019805,0.5792905903828361,0.5703925023621645,0.57,0.567230273752013,0.5722504025764895,0.04102921485900879
Multinomial Naive Bayes,0.565,0.5632270168855535,0.5735103189493433,0.5645445491457902,0.565,0.5618342524741256,0.5672346453123819,0.0036716461181640625
Linear SVM,0.5925,0.6157834101382489,0.6118577188940093,0.5307975178119972,0.5925,0.4548449401750851,0.4945663007215779,0.07206869125366211
DistilBERT,0.59,0.5781837596917221,0.5865694786201774,0.5764898255813953,0.59,0.5767911825761833,0.5877569932676537,15335.793541669846
