model,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,train_time
Logistic Regression,0.57,0.5689280088019805,0.5792905903828361,0.5703925023621645,0.57,0.567230273752013,0.5722504025764895,0.012408256530761719
Multinomial Naive Bayes,0.565,0.5632270168855535,0.5735103189493433,0.5645445491457902,0.565,0.5618342524741256,0.5672346453123819,0.0017054080963134766
Linear SVM,0.5925,0.6157834101382489,0.6118577188940093,0.5307975178119972,0.5925,0.4548449401750851,0.4945663007215779,0.014525413513183594
